,index,ID,Age,education_2n Cycle,education_Basic,education_Graduation,education_Master,education_PhD,Income,marital_Single,marital_Married,marital_Together,marital_Divorced,marital_Widow,Kidhome,Teenhome,Recency,NumWebVisitsMonth,Customer_Days,Complain,MntTotal,MntRegularProds,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,AcceptedCmpOverall,Response
39,39,2968,81,False,False,False,False,True,48948.0,False,False,False,True,False,0,0,53,6,4192,0,902,860,437,8,206,160,49,42,2,7,10,5,1,1
40,40,8601,44,False,False,True,False,False,80011.0,False,True,False,False,False,0,1,3,4,4105,0,1395,1293,421,76,536,82,178,102,2,8,6,5,0,0
41,41,503,39,False,False,False,True,False,20559.0,False,True,False,False,False,1,0,88,8,4153,0,53,46,13,1,29,3,0,7,2,2,0,3,0,0
42,42,8430,67,False,False,True,False,False,21994.0,False,False,True,False,False,0,1,4,5,4231,0,22,19,9,0,6,3,1,3,1,0,0,3,0,0
43,43,7281,65,False,False,False,False,True,55212.0,True,False,False,False,False,0,0,80,2,3915,0,186,147,81,11,50,3,2,39,1,1,3,4,0,0
44,44,2139,49,False,False,False,True,False,7500.0,False,True,False,False,False,1,0,19,5,3949,0,31,19,3,1,10,3,2,12,3,2,0,3,0,0
45,45,1371,48,False,False,True,False,False,79941.0,True,False,False,False,False,0,0,72,1,3680,0,984,810,123,164,266,227,30,174,1,2,4,9,0,0
46,46,9909,28,True,False,False,False,False,7500.0,False,True,False,False,False,0,0,24,9,4276,0,122,72,3,18,14,15,22,50,3,3,1,3,0,1
47,47,7286,56,False,False,True,False,False,41728.0,False,False,True,False,False,1,0,92,10,4080,0,55,42,13,6,15,3,5,13,1,2,0,2,0,0
48,48,7244,73,False,False,True,False,False,52028.5,True,False,False,False,False,2,1,96,6,3858,0,124,117,48,5,48,6,10,7,3,2,1,4,0,0
49,49,6566,70,False,False,False,False,True,72550.0,False,True,False,False,False,1,1,39,8,4277,0,1319,1281,826,50,317,50,38,38,9,5,2,12,0,0
50,50,8614,67,False,False,True,False,False,65486.0,False,False,False,False,True,0,1,29,2,3727,0,507,493,245,19,125,37,67,14,1,4,2,10,0,0
51,51,4114,60,False,False,False,True,False,79143.0,False,True,False,False,False,0,0,2,3,4366,0,1693,1661,650,37,780,27,167,32,1,6,9,13,0,0
52,52,1331,47,False,False,True,False,False,35790.0,True,False,False,False,False,1,0,54,7,4222,0,72,69,12,6,20,30,1,3,2,2,0,3,0,0
53,53,2225,47,False,False,True,False,False,82582.0,False,False,False,True,False,0,0,54,1,3701,0,1617,1376,510,120,550,156,40,241,1,4,9,7,2,1
54,54,9381,46,False,False,True,False,False,66373.0,False,True,False,False,False,1,1,57,3,4061,0,606,497,328,9,124,12,24,109,7,4,2,10,0,0
55,55,6260,69,False,False,False,True,False,82384.0,False,False,True,False,False,0,0,55,1,4266,0,1957,1767,984,51,432,180,120,190,1,3,10,13,1,1
56,56,10383,58,False,False,True,False,False,70287.0,False,False,False,True,False,0,0,30,3,4132,0,1093,1053,295,35,482,121,120,40,1,5,5,10,0,1
57,57,7437,36,False,False,True,False,False,27938.0,True,False,False,False,False,1,0,31,3,3741,0,29,24,13,0,8,2,1,5,1,1,0,4,0,0
58,58,8557,42,False,False,True,False,False,52028.5,True,False,False,False,False,1,0,57,6,4056,0,46,40,11,3,22,2,2,6,2,2,0,3,0,0
59,59,8375,56,False,False,False,False,True,55954.0,False,True,False,False,False,0,1,63,7,3797,0,518,475,447,0,28,0,0,43,3,8,2,6,0,0
60,60,6853,42,False,False,False,True,False,75777.0,True,False,False,False,False,0,0,12,1,4039,0,1438,1358,712,26,538,69,13,80,1,3,6,11,2,1
61,61,3076,49,False,False,True,False,False,66653.0,False,False,True,False,False,1,1,18,3,4339,0,612,606,452,18,102,16,18,6,4,4,2,12,0,0
62,62,1012,72,False,False,True,False,False,61823.0,True,False,False,False,False,0,1,26,7,4175,0,884,715,523,7,134,37,14,169,4,8,2,10,0,0
63,63,6518,73,False,False,False,False,True,67680.0,False,False,False,False,True,0,1,8,5,4062,0,606,600,546,0,48,0,6,6,1,7,3,8,0,0
64,64,4137,76,False,False,True,False,False,70666.0,False,False,True,False,False,0,0,29,4,3884,0,1076,1046,398,40,367,119,122,30,1,7,4,4,0,0
65,65,8082,53,False,False,True,False,False,25721.0,False,True,False,False,False,1,0,75,7,4083,0,34,19,1,3,6,3,6,15,1,1,1,2,0,1
66,66,1386,57,False,False,True,False,False,32474.0,False,False,True,False,False,1,1,0,7,3728,0,11,11,10,0,1,0,0,0,1,1,0,2,0,0
67,67,9369,45,True,False,False,False,False,88194.0,True,False,False,False,False,0,1,19,5,3781,0,1274,1236,688,14,309,201,24,38,1,11,10,10,2,1
68,68,4477,66,False,False,True,False,False,69096.0,False,False,True,False,False,0,1,4,4,3954,0,653,544,247,49,159,7,82,109,1,5,2,10,0,0
69,69,1357,54,False,False,True,False,False,74854.0,False,False,True,False,False,1,2,90,5,4126,0,1562,1489,856,59,487,58,29,73,7,2,5,5,0,0
70,70,1402,70,False,False,False,True,False,66991.0,False,True,False,False,False,0,0,1,3,4335,0,1253,1241,496,36,460,189,60,12,3,4,8,6,0,0
71,71,10629,51,True,False,False,False,False,46805.0,False,True,False,False,False,1,0,25,8,4332,0,109,92,25,3,43,17,4,17,3,3,0,3,0,0
72,72,6312,65,False,False,True,False,False,65031.0,False,True,False,False,False,0,1,29,7,4148,0,863,777,258,107,291,84,37,86,4,10,3,13,0,0
73,73,8132,49,False,False,False,False,True,60631.0,False,True,False,False,False,1,1,88,7,4129,0,661,642,565,6,65,0,6,19,5,9,2,8,1,0
74,74,1050,72,False,False,True,False,False,28332.0,False,True,False,False,False,0,0,58,2,3739,0,65,56,14,10,13,4,15,9,1,2,1,4,0,0
75,75,5846,47,False,False,True,False,False,40246.0,False,False,False,True,False,1,0,68,6,4236,0,13,12,2,1,6,2,1,1,1,1,0,2,0,0
76,76,1859,52,False,False,False,True,False,75251.0,False,True,False,False,False,0,0,34,5,4350,0,1890,1872,721,111,925,97,18,18,1,7,6,5,0,1
77,77,7503,48,False,False,True,False,False,75825.0,True,False,False,False,False,0,0,40,4,4304,0,2209,2158,1032,105,779,137,105,51,0,5,8,9,1,1
78,78,10401,48,True,False,False,False,False,26326.0,False,False,True,False,False,0,0,12,3,3977,1,18,9,1,0,5,0,3,9,1,0,0,3,0,0
79,79,1618,59,False,False,True,False,False,56046.0,False,False,True,False,False,0,0,9,8,4222,0,692,641,577,0,64,0,0,51,2,10,1,8,1,1
80,80,3332,39,False,False,True,False,False,29760.0,True,False,False,False,False,1,0,87,8,4348,0,165,148,64,4,68,7,5,17,4,3,1,4,0,0
81,81,2261,55,False,False,True,False,False,26304.0,False,True,False,False,False,1,0,5,7,4050,0,16,12,4,1,5,2,0,4,1,1,0,2,0,0
82,82,5346,51,True,False,False,False,False,23559.0,False,True,False,False,False,1,0,87,7,4040,0,79,56,25,5,19,7,0,23,3,3,0,3,0,0
83,83,4119,61,False,False,False,True,False,38620.0,False,False,True,False,False,0,0,56,3,4093,0,318,229,112,17,44,34,22,89,1,2,5,3,0,0
84,84,535,37,False,False,True,False,False,81361.0,False,False,False,True,False,0,0,18,1,3803,0,778,702,163,23,424,27,65,76,1,3,10,13,0,0
85,85,5268,64,False,False,True,False,False,29440.0,False,True,False,False,False,1,1,95,7,4001,0,56,53,17,8,14,10,4,3,2,1,0,4,0,0
86,86,273,54,False,False,False,True,False,36138.0,False,True,False,False,False,1,1,48,7,4027,0,151,146,130,0,16,0,0,5,5,3,1,4,1,0
87,87,4452,67,False,False,True,False,False,50388.0,True,False,False,False,False,0,1,3,7,3711,0,372,338,292,6,37,0,3,34,4,6,1,6,2,1
88,88,8504,51,False,False,True,False,False,79593.0,False,True,False,False,False,0,0,70,2,3727,0,1366,1221,350,60,568,110,133,145,1,5,6,7,1,0
89,89,771,57,False,False,True,False,False,54178.0,False,False,True,False,False,0,1,79,2,3838,0,194,187,135,9,39,4,0,7,1,2,2,5,0,0
90,90,8996,67,False,False,False,False,True,55212.0,False,True,False,False,False,2,1,4,9,4266,0,603,550,230,42,192,49,37,53,12,7,2,8,0,0
91,91,9235,67,False,False,True,False,False,52028.5,True,False,False,False,False,1,1,45,7,3712,0,18,17,7,0,8,2,0,1,1,1,0,2,0,0
92,92,5798,51,False,False,False,True,False,50943.0,False,False,True,False,False,0,0,87,1,3897,0,985,967,445,37,359,98,28,18,1,2,4,8,0,0
93,93,11178,52,False,False,False,True,False,42394.0,True,False,False,False,False,1,0,69,7,3777,0,32,28,15,2,10,0,1,4,1,1,0,3,0,0
94,94,2230,54,False,False,False,False,True,23626.0,False,True,False,False,False,1,0,84,5,3715,0,43,43,27,2,14,0,0,0,3,3,1,3,0,0
95,95,7516,41,False,False,True,False,False,30096.0,False,True,False,False,False,1,0,30,6,3717,0,45,36,5,3,11,12,5,9,1,2,0,3,0,0
96,96,7247,64,False,False,True,False,False,47916.0,False,False,False,False,True,0,1,72,6,4263,0,606,531,505,0,26,0,0,75,5,7,4,6,1,0
97,97,11100,52,False,False,True,False,False,51813.0,False,False,False,True,False,1,1,37,7,4123,0,63,61,51,2,7,0,1,2,2,2,0,3,0,0
98,98,4646,73,True,False,False,False,False,78497.0,False,True,False,False,False,0,0,44,2,3889,0,978,755,207,26,447,75,0,223,1,5,7,12,1,0
99,99,3037,41,False,False,False,False,True,50150.0,False,True,False,False,False,0,0,32,5,4053,0,410,399,135,46,92,65,61,11,2,5,2,7,0,0
100,100,1473,64,True,False,False,False,False,47823.0,True,False,False,False,False,0,1,0,8,4020,0,72,62,53,1,5,2,1,10,2,2,0,3,0,0
101,101,1016,65,False,False,False,False,True,34554.0,True,False,False,False,False,0,1,43,6,3770,0,55,50,41,1,6,2,0,5,2,2,0,3,0,0
102,102,4518,45,False,False,True,False,False,85693.0,False,False,True,False,False,0,1,59,5,4114,0,1169,1058,386,172,183,185,132,111,2,9,5,11,0,0
103,103,9370,79,False,False,False,False,True,65846.0,False,True,False,False,False,0,0,68,4,4087,0,1120,1039,562,81,276,80,40,81,1,6,3,6,0,0
104,104,8908,65,False,False,True,False,False,87195.0,False,True,False,False,False,0,0,35,1,3731,0,1097,1059,217,76,690,50,26,38,1,3,11,5,0,1
105,105,8373,45,False,True,False,False,False,24594.0,False,False,True,False,False,1,0,94,5,3880,0,29,20,1,3,6,10,0,9,1,1,0,3,0,0
106,106,7533,60,False,False,True,False,False,49096.0,False,True,False,False,False,1,1,15,7,3957,0,187,180,144,1,32,2,1,7,4,4,1,4,0,0
107,107,2683,55,False,False,True,False,False,52413.0,False,True,False,False,False,0,2,56,6,4191,0,910,845,295,106,271,75,98,65,4,6,4,12,0,0
108,108,3629,46,False,False,True,False,False,38557.0,True,False,False,False,False,1,0,17,7,4236,0,145,118,76,3,31,4,4,27,2,3,1,3,0,0
109,109,10991,64,False,False,False,True,False,89058.0,False,True,False,False,False,0,0,18,2,4248,0,850,807,454,194,106,31,22,43,1,5,4,4,0,0
110,110,5077,45,False,False,True,False,False,77298.0,False,False,True,False,False,0,1,46,3,3918,0,969,890,425,115,292,23,35,79,1,6,6,11,0,0
111,111,7431,33,False,False,False,False,True,68126.0,True,False,False,False,False,0,0,40,9,4275,0,1820,1734,1332,17,311,23,51,86,1,7,4,5,1,1
112,112,3267,61,False,False,False,True,False,57288.0,False,False,True,False,False,0,1,27,6,3683,0,608,548,527,0,21,0,0,60,3,8,1,8,1,0
113,113,999,33,False,False,True,False,False,86037.0,True,False,False,False,False,0,0,95,3,4222,0,730,708,490,44,125,29,20,22,1,6,7,11,2,1
114,114,9215,44,False,False,False,False,True,43974.0,False,True,False,False,False,1,0,19,7,4243,0,551,479,378,0,101,0,0,72,5,6,4,6,0,0
115,115,2286,62,False,False,True,False,False,50785.0,True,False,False,False,False,1,1,27,6,3971,0,114,87,64,1,21,0,1,27,2,2,1,3,0,0
116,116,1592,54,False,False,True,False,False,90765.0,False,True,False,False,False,0,0,25,1,3835,0,1724,1691,547,99,812,151,82,33,0,4,6,5,2,0
117,117,367,46,True,False,False,False,False,36550.0,False,True,False,False,False,1,0,74,9,4174,0,577,457,47,90,94,123,103,120,5,9,1,5,0,0
118,118,5234,57,True,False,False,False,False,30753.0,False,False,True,False,False,1,1,85,5,4032,0,81,51,12,5,25,0,9,30,2,1,1,3,0,0
119,119,9862,55,False,False,True,False,False,21918.0,False,False,True,False,False,1,0,37,6,3906,0,33,30,1,6,7,11,5,3,2,2,0,3,0,0
120,120,9805,71,False,False,False,True,False,56129.0,False,False,True,False,False,0,1,65,4,4053,0,660,612,320,48,133,39,72,48,4,6,2,10,0,0
121,121,6205,57,False,False,False,True,False,32557.0,True,False,False,False,False,1,0,13,5,3804,0,80,70,34,3,29,0,4,10,3,2,1,3,0,1
122,122,8442,39,False,False,False,True,False,19510.0,False,True,False,False,False,2,0,63,7,3977,0,30,23,9,0,7,3,4,7,2,1,0,3,0,0
123,123,7386,48,False,False,True,False,False,30992.0,False,False,False,True,False,1,0,83,7,4112,0,43,41,17,0,14,7,3,2,1,1,0,3,0,0
124,124,7215,41,False,False,True,False,False,101970.0,True,False,False,False,False,0,0,69,2,4153,0,1135,967,722,27,102,44,72,168,0,6,8,13,3,1
125,125,1491,59,True,False,False,False,False,71488.0,False,False,True,False,False,0,0,87,1,4175,0,559,387,162,33,124,40,28,172,2,3,4,7,0,0
126,126,11071,40,False,False,True,False,False,79607.0,True,False,False,False,False,0,0,37,1,4113,0,1923,1707,450,133,951,173,0,216,1,3,6,6,0,1
127,127,3381,71,False,False,False,True,False,54348.0,False,True,False,False,False,1,1,51,6,3700,0,90,86,70,0,16,0,0,4,2,2,0,4,0,0
128,128,8268,63,False,False,False,False,True,55212.0,False,True,False,False,False,0,1,23,6,4032,0,404,389,352,0,27,10,0,15,3,6,1,7,0,0
129,129,11051,68,False,False,False,False,True,77376.0,False,False,True,False,False,1,1,72,4,3729,0,661,649,492,19,110,16,12,12,4,6,3,10,0,0
130,130,8026,72,False,False,True,False,False,62998.0,False,True,False,False,False,0,1,10,5,3951,0,463,405,120,58,73,65,89,58,5,5,4,5,0,0
131,131,433,66,False,False,False,True,False,61331.0,False,False,False,False,False,1,1,42,8,4155,0,632,591,534,5,47,0,5,41,5,11,1,6,0,0
132,132,9597,55,False,False,True,False,False,73448.0,False,True,False,False,False,0,0,10,4,3818,0,725,595,236,106,189,23,41,130,1,7,2,9,0,0
133,133,1295,61,False,False,True,False,False,52028.5,False,True,False,False,False,0,1,96,4,4001,0,725,601,231,65,196,38,71,124,1,6,5,7,0,0
134,134,5290,60,False,False,False,False,True,41551.0,False,True,False,False,False,1,1,51,8,3998,0,279,256,220,0,33,3,0,23,5,5,1,5,0,0
135,135,1685,57,False,False,False,False,True,62981.0,False,False,True,False,False,0,0,21,3,4148,0,1482,1482,796,14,590,38,44,0,1,4,5,13,1,0
136,136,5342,48,False,True,False,False,False,9548.0,False,False,False,True,False,1,0,31,8,4369,0,29,20,0,1,3,10,6,9,2,1,0,3,0,0
137,137,9579,65,False,False,False,False,True,33762.0,False,True,False,False,False,2,1,61,8,4036,0,106,90,53,1,34,2,0,16,3,2,2,2,0,0
138,138,7660,51,False,False,False,False,True,35860.0,False,False,False,False,False,1,1,37,5,3720,0,49,29,15,0,8,4,2,20,2,1,1,2,1,1
139,139,1461,59,False,False,False,False,True,36921.0,False,False,False,True,False,1,1,74,7,4015,0,38,34,17,1,12,3,1,4,2,2,0,3,0,0
140,140,821,32,False,False,False,True,False,92859.0,True,False,False,False,False,0,0,46,2,4297,0,2077,2057,962,61,921,52,61,20,1,5,4,12,0,0
141,141,11084,48,False,False,False,True,False,65104.0,False,False,True,False,False,0,1,4,7,3906,0,1053,1003,738,0,232,13,20,50,2,3,5,7,0,1
142,142,8690,62,False,False,True,False,False,86111.0,False,True,False,False,False,0,0,73,2,4115,0,1385,1259,399,28,756,36,40,126,1,5,7,10,0,0
143,143,2937,50,False,False,False,False,True,68352.0,True,False,False,False,False,0,1,47,6,3984,0,871,838,614,16,132,43,33,33,3,8,5,9,0,0
144,144,9701,36,False,False,True,False,False,41883.0,False,False,True,False,False,1,0,13,7,4146,0,312,196,32,34,41,73,16,116,3,4,2,3,0,0
145,145,9949,48,False,False,True,False,False,59809.0,False,True,False,False,False,0,2,36,8,4298,0,877,828,598,16,141,32,41,49,3,3,3,6,0,0
146,146,10837,49,False,False,True,False,False,23957.0,False,True,False,False,False,1,0,47,6,4288,0,68,52,2,1,18,20,11,16,1,2,0,3,0,1
147,147,3120,43,False,False,True,False,False,38547.0,False,False,True,False,False,1,0,49,8,3984,1,22,18,6,1,10,0,1,4,1,1,0,2,0,0
148,148,5885,51,True,False,False,False,False,35688.0,False,True,False,False,False,2,1,94,8,4355,0,211,179,73,3,90,12,1,32,7,4,1,4,0,0
149,149,4050,58,False,False,False,True,False,49605.0,False,True,False,False,False,0,0,65,3,3687,0,127,119,42,16,29,12,20,8,1,2,1,4,0,0
150,150,3830,71,False,False,False,True,False,59354.0,False,True,False,False,False,0,2,59,3,3745,0,459,446,295,21,78,39,13,13,1,4,4,7,0,0
151,151,7987,55,False,False,True,False,False,65747.0,False,True,False,False,False,0,1,96,6,3793,0,460,447,346,17,48,23,13,13,4,8,1,6,1,0
152,152,7798,52,True,False,False,False,False,46344.0,False,False,True,False,False,0,1,28,7,4241,0,429,338,233,20,57,8,20,91,4,7,1,5,0,0
153,153,92,36,False,False,True,False,False,34176.0,False,False,False,False,False,1,0,12,6,3727,0,89,69,5,7,24,19,14,20,4,3,0,4,0,0
154,154,7055,72,False,False,False,False,True,61010.0,False,False,True,False,False,0,1,57,5,4307,0,1021,945,888,0,57,0,0,76,2,8,5,11,0,0
155,155,10240,75,False,False,True,False,False,69372.0,False,False,True,False,False,0,0,10,4,4174,0,1381,1339,997,26,269,34,13,42,1,10,4,6,2,1
156,156,3025,66,False,False,True,False,False,49967.0,True,False,False,False,False,0,1,4,7,4035,0,306,303,212,6,69,4,12,3,3,6,1,5,0,0
157,157,9283,46,False,False,True,False,False,60199.0,True,False,False,False,False,1,2,49,4,3969,0,18,18,8,1,7,2,0,0,1,0,0,3,0,0
158,158,9970,47,False,False,True,False,False,55375.0,False,False,True,False,False,0,1,3,2,3934,0,162,148,42,11,57,10,28,14,1,1,1,6,0,0
159,159,2730,69,False,False,True,False,False,80317.0,True,False,False,False,False,0,0,64,1,3992,0,1231,1174,536,11,387,149,91,57,1,3,4,10,0,0
160,160,2795,66,False,False,False,True,False,30523.0,True,False,False,False,False,2,1,0,7,4042,0,13,8,5,0,3,0,0,5,1,1,0,2,0,0
161,161,9260,79,False,False,False,False,True,70356.0,False,True,False,False,False,0,0,20,6,4280,0,1706,1673,1349,16,249,43,16,33,2,10,6,9,0,0
162,162,8182,40,False,False,True,False,False,23228.0,False,True,False,False,False,1,0,91,8,3854,0,121,116,53,3,49,7,4,5,4,3,0,4,0,0
163,163,10095,49,False,False,False,False,True,74165.0,False,False,False,True,False,0,0,9,2,4103,0,1293,1281,1001,12,240,16,12,12,1,5,4,10,0,0
164,164,8475,51,False,False,False,False,True,157243.0,False,True,False,False,False,0,1,98,0,3799,0,1608,1607,20,2,1582,1,2,1,15,0,22,0,0,0
165,165,4370,58,False,False,True,False,False,43482.0,False,False,True,False,False,2,1,83,6,3907,0,88,60,18,1,32,6,3,28,3,2,0,4,0,0
166,166,10573,71,False,False,True,False,False,62551.0,False,False,False,True,False,0,0,27,3,3902,0,421,394,125,16,98,134,21,27,1,6,7,4,1,0
167,167,3712,65,False,False,True,False,False,52332.0,False,False,False,True,False,0,0,63,4,3984,0,259,257,212,5,33,7,0,2,1,3,2,6,1,0
168,168,6637,36,False,False,True,False,False,66951.0,True,False,False,False,False,0,0,46,1,3918,0,1117,993,277,162,305,173,76,124,1,3,4,7,0,0
169,169,3152,67,False,False,True,False,False,26091.0,False,False,True,False,False,1,1,84,5,3803,0,89,69,15,10,19,8,17,20,3,2,1,3,0,0
170,170,5610,59,False,False,True,False,False,33456.0,False,False,True,False,False,1,1,58,7,3748,0,36,29,7,3,10,8,1,7,2,1,0,3,0,0
171,171,6460,42,False,False,True,False,False,28718.0,False,True,False,False,False,1,0,78,8,4030,0,57,41,12,4,6,11,8,16,2,2,0,3,0,0
172,172,1349,54,False,False,True,False,False,50447.0,False,True,False,False,False,2,0,4,6,3748,0,148,121,85,7,24,2,3,27,1,3,1,3,0,0
173,173,1880,65,False,False,False,False,True,53537.0,False,False,True,False,False,1,1,17,5,3829,0,93,87,81,0,6,0,0,6,2,2,1,3,0,0
174,174,641,57,False,False,True,False,False,52074.0,True,False,False,False,False,0,1,77,4,3765,0,119,71,59,0,12,0,0,48,1,2,2,2,1,0
175,175,8717,49,False,False,False,False,True,80427.0,False,True,False,False,False,0,1,56,5,4334,0,1835,1809,1149,71,449,69,71,26,1,11,8,8,0,0
176,176,10314,76,False,False,False,False,True,83837.0,False,True,False,False,False,0,0,79,4,4239,0,1318,1207,847,66,119,86,89,111,1,9,10,5,2,1
177,177,10854,54,False,False,False,False,True,38853.0,False,True,False,False,False,1,1,90,7,3716,0,45,43,29,0,14,0,0,2,2,2,0,3,0,0
178,178,10492,65,False,False,True,False,False,38285.0,False,False,True,False,False,2,1,96,2,3684,0,10,9,2,0,5,2,0,1,1,0,0,3,0,0
